Student_Name,College_Name,Stream,Year_of_Study,AI_Tools_Used,Daily_Usage_Hours,Use_Cases,Trust_in_AI_Tools,Impact_on_Grades,Do_Professors_Allow_Use,Preferred_AI_Tool,Awareness_Level,Willing_to_Pay_for_Access,State,Device_Used,Internet_Access
Atharv,Neville Wadia Institute of Management Studies and ,Management,2,"Gemini, Midjourney",3.6,"Exam Prep, Notes",1,3,No,Copilot,10,Yes,Maharashtra,Tablet,Poor
Om,Indian Institute of Technology Madras ,Engineering,3,"ChatGPT, Gemini, Copilot",4.1,"MCQ Practice, Projects",2,3,Yes,Gemini,7,No,Tamil nadu,Laptop,Poor
Anaya,"United College, Chandel ",Arts,2,ChatGPT,4.3,Content Writing,4,-2,No,Copilot,1,Yes,Manipur,Mobile,Poor
Siya,Shivalik Institute of Paramedical Technology ,Management,3,ChatGPT,2.5,Learning new topics,2,-2,No,ChatGPT,5,No,Chandigarh,Laptop,Medium
Diya,Chandigarh University ,Law,2,"Gemini, Midjourney",3.2,Content Writing,2,-3,No,Copilot,9,Yes,Punjab,Mobile,Medium
Myra,Apex Professional University ,Management,3,ChatGPT,3.7,"Doubt Solving, Resume Writing",3,1,Yes,ChatGPT,10,Yes,Arunachal pradesh,Tablet,Medium
Aadhya,Madhav University ,Pharmacy,1,Gemini,4.4,"MCQ Practice, Projects",1,2,No,Copilot,4,No,Rajasthan,Mobile,High
Riya,National Institute of Fashion Technology ,Management,2,"ChatGPT, Gemini, Copilot",3.8,"MCQ Practice, Projects",5,-2,No,Copilot,4,No,Meghalaya,Laptop,High
Pari,King George's Medical University ,Medical,2,"ChatGPT, Gemini, Copilot",4.2,"Doubt Solving, Resume Writing",3,-2,Yes,ChatGPT,7,Yes,Uttar pradesh,Laptop,Poor
Anika,"Loyola Academy Degree and PG College, Secunderabad ",Agriculture,1,ChatGPT,3.4,"MCQ Practice, Projects",1,0,Yes,Copilot,1,Yes,Telangana,Laptop,High
Ira,Royal College of Pharmacy & Health Sciences ,Pharmacy,3,"Gemini, Midjourney",4.4,"Assignments, Coding Help",2,0,No,Other,3,Yes,Orissa,Tablet,Medium
Meera,Nalanda Open University ,Arts,4,"ChatGPT, Gemini, Copilot",1.6,Learning new topics,1,1,Yes,ChatGPT,8,Yes,Bihar,Laptop,Medium
Saanvi,"Ramnarain Ruia Autonomous College, Mumbai ",Commerce,3,"Gemini, Midjourney",4.4,Content Writing,5,0,Yes,Gemini,5,No,Maharashtra,Laptop,Poor
Navya,Galgotias University ,Agriculture,3,ChatGPT,3.1,"Doubt Solving, Resume Writing",3,-1,No,ChatGPT,4,Yes,Delhi ncr,Laptop,High
Aarohi,Atal Bihari Vajpayee Hindi Vishwavidyalaya ,Science,1,Gemini,0.5,"MCQ Practice, Projects",5,-2,No,ChatGPT,3,No,Madhya pradesh,Laptop,High
Prisha,"Government Mahaprabhu Vallabhacharya Post Graduate College, Mahasamund ",Science,4,"ChatGPT, Gemini, Copilot",1.8,Content Writing,1,-3,Yes,Other,10,No,Chhattisgarh,Laptop,Poor
Ishita,"The Global University, Itanagar ",Commerce,3,Gemini,2.4,"MCQ Practice, Projects",1,-3,Yes,Copilot,8,No,Arunachal pradesh,Laptop,Poor
Rakhi,"GGDSD College, Palampur ",Arts,3,"ChatGPT, Copilot",3.2,"Exam Prep, Notes",2,0,Yes,Copilot,5,No,Himachal pradesh,Mobile,High
Ramya,Shivaji University ,Law,4,"ChatGPT, Gemini, Copilot",3.1,"Doubt Solving, Resume Writing",1,2,Yes,Copilot,9,No,Maharashtra,Mobile,Poor
Sneha,"Swami Keshwanand Rajasthan Agricultural University, Bikaner ",Science,2,"Gemini, Midjourney",0.7,"Assignments, Coding Help",3,0,Yes,Other,2,No,Rajasthan,Mobile,High
Divya,Vaishali Institute of Business and Rural Management ,Management,3,"Gemini, Midjourney",2.6,Learning new topics,3,-2,No,ChatGPT,10,No,Bihar,Tablet,Poor
Neha,Panjab University ,Agriculture,1,Copilot,4.1,"Assignments, Coding Help",5,1,Yes,Copilot,8,No,Punjab,Mobile,Medium
Pooja,Hyderabad School of Business ,Management,2,"ChatGPT, Copilot",3.2,Learning new topics,1,-1,Yes,Copilot,1,Yes,Telangana,Mobile,Poor
Kavya,Kerala University of Fisheries and Ocean Studies ,Law,4,Gemini,1.1,"Assignments, Coding Help",4,-1,No,ChatGPT,6,No,Kerala,Tablet,High
Aishwarya,"Purnea University, Purnahiya ",Law,3,Copilot,0.8,"Doubt Solving, Resume Writing",5,-3,Yes,Copilot,10,No,Bihar,Mobile,Poor
Shreya,Shri Guru Ram Rai Institute of Medical ,Medical,1,"Gemini, Midjourney",1.4,Content Writing,2,1,No,Other,1,No,Uttarakhand,Laptop,Medium
Nandini,Sardar Vallabhbhai National Institute of Technology ,Engineering,4,"ChatGPT, Copilot",0.7,"Exam Prep, Notes",4,2,Yes,Gemini,1,Yes,Gujarat,Laptop,Medium
Aarav,"NEF Law College, Guwahati ",Law,3,"ChatGPT, Copilot",2.9,Learning new topics,2,-2,No,ChatGPT,7,Yes,Assam,Mobile,Poor
Vivaan,Doon Post Graduate College of Agriculture Science ,Hotel-management,2,Copilot,3.1,"Assignments, Coding Help",2,-2,No,Gemini,10,Yes,Uttarakhand,Laptop,Medium
Aditya,College of Veterinary and Animal Sciences ,Science,4,"ChatGPT, Gemini, Copilot",0.6,"MCQ Practice, Projects",5,1,No,Copilot,7,Yes,Rajasthan,Laptop,Medium
Vihaan,"Singhania University, Jhunjhunu ",Management,2,"ChatGPT, Gemini, Copilot",2.7,Content Writing,1,2,No,Other,5,Yes,Rajasthan,Laptop,Medium
Arjun,JECRC University ,Commerce,3,Gemini,4.1,Content Writing,3,-3,Yes,ChatGPT,4,Yes,Rajasthan,Laptop,Medium
Sai,"RKDF University, Ranchi ",Law,4,"Gemini, Midjourney",2.9,"MCQ Practice, Projects",2,-2,No,ChatGPT,3,Yes,Jharkhand,Tablet,High
Reyansh,BFIT Group of Institutions ,Engineering,2,"ChatGPT, Copilot",1.0,Content Writing,5,-2,Yes,Gemini,6,Yes,Uttarakhand,Mobile,Poor
Ayaan,National Institute of Technology ,Science,2,"ChatGPT, Gemini, Copilot",1.9,"MCQ Practice, Projects",5,-3,No,ChatGPT,8,Yes,Jammu,Mobile,High
Krishna,Dr. SNS Rajalakshmi College of Arts and ,Commerce,1,"Gemini, Midjourney",1.1,"MCQ Practice, Projects",1,1,Yes,Gemini,2,No,Tamil nadu,Laptop,Poor
Ishaan,Ram Krishna Dwarika College ,Commerce,3,"ChatGPT, Copilot",1.2,"Doubt Solving, Resume Writing",1,0,No,Gemini,7,No,Bihar,Tablet,High
Rudra,"INMANTEC Institutions, Ghaziabad ",Pharmacy,2,Copilot,0.8,"Doubt Solving, Resume Writing",1,-2,Yes,Copilot,9,No,Delhi ncr,Tablet,High
Dhruv,"St.Joseph University, Dimapur ",Science,3,ChatGPT,3.9,"Exam Prep, Notes",2,1,Yes,Copilot,2,Yes,Nagaland,Mobile,Medium
Kabir,Oriental University ,Engineering,4,"ChatGPT, Gemini, Copilot",3.1,"Exam Prep, Notes",2,-1,Yes,ChatGPT,7,Yes,Madhya pradesh,Mobile,Medium
Atharv,"The Global University, Itanagar ",Management,1,ChatGPT,2.5,"Exam Prep, Notes",5,1,Yes,ChatGPT,9,No,Arunachal pradesh,Mobile,Medium
Om,Narsee Monjee Institute of Management Studies ,Medical,2,ChatGPT,2.9,"Exam Prep, Notes",5,-1,No,Copilot,3,Yes,Maharashtra,Laptop,Poor
Anaya,Model Institute of Engineering and Technology ,Commerce,3,Copilot,1.1,Content Writing,5,0,Yes,Other,9,Yes,Jammu,Tablet,Medium
Siya,Kerala University ,Law,1,Copilot,1.7,"MCQ Practice, Projects",5,-1,Yes,Gemini,5,No,Kerala,Mobile,High
Diya,International Institute of Information Technology ,Engineering,1,"ChatGPT, Copilot",0.7,"MCQ Practice, Projects",1,-1,No,Copilot,9,Yes,Karnataka,Tablet,High
Myra,Panjab University ,Pharmacy,3,Gemini,4.2,"Assignments, Coding Help",4,-3,No,Gemini,4,Yes,Haryana,Mobile,Poor
Aadhya,"PDM University, Bahadurgarh, Bahadurgarh ",Law,2,Gemini,2.6,Learning new topics,2,-3,Yes,ChatGPT,3,No,Haryana,Laptop,Medium
Riya,Dibrugarh Hanumanbux Surajmal Kanoi College ,Arts,4,Copilot,4.2,Learning new topics,2,-1,Yes,Gemini,6,Yes,Assam,Tablet,High
Pari,Government Engineering College ,Engineering,3,ChatGPT,2.9,"Exam Prep, Notes",2,-2,Yes,Other,6,Yes,Chhattisgarh,Laptop,Medium
Anika,Indian Institute of Information Technology ,Engineering,3,"Gemini, Midjourney",2.2,"Assignments, Coding Help",4,-3,No,Gemini,10,No,Gujarat,Laptop,Poor
Ira,Institute of Agri Business Management ,Agriculture,3,Copilot,1.3,"Doubt Solving, Resume Writing",1,-3,No,ChatGPT,8,No,Rajasthan,Tablet,Medium
Meera,"Institute of Law, Nirma University ",Law,1,Copilot,2.0,Learning new topics,2,-3,No,Other,5,No,Gujarat,Mobile,Poor
Saanvi,Institute of Medical Sciences and SUM Hospital ,Medical,2,ChatGPT,1.3,"Assignments, Coding Help",3,-3,Yes,ChatGPT,8,No,Orissa,Laptop,High
Navya,"Amity University, Gwalior ",Pharmacy,2,ChatGPT,2.6,Learning new topics,3,-2,Yes,Gemini,8,Yes,Madhya pradesh,Laptop,High
Aarohi,Jayoti Vidyapeeth Women's University ,Arts,1,"Gemini, Midjourney",3.8,"MCQ Practice, Projects",1,0,Yes,Copilot,1,Yes,Rajasthan,Mobile,Medium
Prisha,"Institute of Hotel Management Shri Shakti- [IHM], ",Hotel-management,2,"Gemini, Midjourney",1.5,Learning new topics,4,3,No,ChatGPT,10,Yes,Telangana,Tablet,Medium
Ishita,Bidhan Chandra Krishi Viswavidyalaya ,Agriculture,2,Copilot,0.8,Content Writing,5,-1,Yes,Other,6,No,West bengal,Tablet,Medium
Rakhi,"Indira Gandhi Institute of Pharmaceutical Sciences, Bhubaneswar ",Pharmacy,1,"Gemini, Midjourney",3.3,"Exam Prep, Notes",5,1,No,Other,9,No,Orissa,Laptop,Medium
Ramya,"JNTUA College of Engineering, Ananthapur ",Engineering,2,ChatGPT,3.1,"Assignments, Coding Help",5,1,Yes,Gemini,8,No,Andhra pradesh,Mobile,High
Sneha,"Poddar Group of Institutions, Jaipur ",Science,4,Gemini,2.0,"MCQ Practice, Projects",2,-2,No,Other,10,No,Rajasthan,Tablet,Poor
Divya,"St. Mira's College for Girls, Pune ",Commerce,4,"Gemini, Midjourney",4.1,Content Writing,5,-3,No,Copilot,9,Yes,Maharashtra,Laptop,High
Neha,"Maharaja Ranjit Singh Punjab Technical University, Bathinda ",Agriculture,2,Copilot,2.9,"Exam Prep, Notes",3,-2,Yes,Gemini,1,Yes,Punjab,Laptop,Poor
Pooja,"IIHMR University, Jaipur ",Arts,1,"ChatGPT, Gemini, Copilot",3.0,Learning new topics,2,-2,No,Copilot,9,Yes,Rajasthan,Laptop,Medium
Kavya,Seth GS Medical College ,Medical,1,Copilot,4.3,"MCQ Practice, Projects",2,3,Yes,Gemini,5,No,Maharashtra,Laptop,High
Aishwarya,"Faculty of Management Studies, Manav Rachna International ",Management,1,ChatGPT,3.8,Content Writing,3,2,No,Gemini,8,No,Haryana,Tablet,High
Shreya,DAV College ,Science,3,Gemini,3.7,Learning new topics,2,2,No,Other,8,Yes,Punjab,Mobile,High
Nandini,Sri Ram Chandra Bhanja Medical College and ,Pharmacy,1,ChatGPT,2.3,Content Writing,3,0,No,Other,7,Yes,Orissa,Laptop,Medium
Aarav,RP Inderaprastha Institute of Technology ,Hotel-management,2,Gemini,0.9,"Assignments, Coding Help",3,2,Yes,Copilot,5,No,Haryana,Mobile,Medium
Vivaan,"University School of Business, Chandigarh University ",Arts,1,ChatGPT,4.2,"MCQ Practice, Projects",5,3,Yes,Copilot,1,No,Punjab,Laptop,Medium
Aditya,Jesus and Mary College ,Science,4,Copilot,1.2,"Exam Prep, Notes",2,-2,Yes,Gemini,9,Yes,Delhi ncr,Tablet,Poor
Vihaan,Baba Balak Nath Post Graduate College ,Science,3,Copilot,1.3,"Doubt Solving, Resume Writing",5,3,Yes,Other,10,Yes,Himachal pradesh,Tablet,Medium
Arjun,"C. V. Raman Global University, Bhubaneswar ",Hotel-management,1,"ChatGPT, Gemini, Copilot",0.9,"Doubt Solving, Resume Writing",2,1,No,Copilot,6,No,Orissa,Mobile,High
Sai,SunRise University ,Pharmacy,1,Gemini,3.1,Content Writing,1,3,Yes,Gemini,1,No,Delhi ncr,Mobile,High
Reyansh,"Dr. Zakir Husain Institute, Patna ",Hotel-management,3,Gemini,2.1,Content Writing,1,-1,Yes,Other,5,No,Bihar,Mobile,Poor
Ayaan,"Shree Damodar College of Commerce and Economics, Salcete ",Commerce,3,"ChatGPT, Gemini, Copilot",4.4,"Doubt Solving, Resume Writing",1,1,No,Gemini,2,No,Goa,Laptop,Medium
Krishna,Royal Global University ,Law,2,Copilot,0.8,Content Writing,4,1,Yes,Gemini,6,Yes,Assam,Laptop,Medium
Ishaan,VIT University ,Arts,3,Gemini,3.9,"Doubt Solving, Resume Writing",4,-2,No,Other,1,Yes,Andhra pradesh,Mobile,High
Rudra,Pt Bhagwat Dayal Sharma Post Graduate Institute ,Medical,3,Gemini,0.5,"MCQ Practice, Projects",1,-3,No,Copilot,1,No,Delhi ncr,Laptop,Medium
Dhruv,All India Institute of Management Studies ,Medical,2,Gemini,4.5,"MCQ Practice, Projects",5,3,Yes,Other,9,Yes,Tamil nadu,Tablet,Poor
Kabir,"Shobhit University, Meerut ",Pharmacy,4,"ChatGPT, Copilot",1.8,"Doubt Solving, Resume Writing",1,1,Yes,ChatGPT,7,Yes,Delhi ncr,Tablet,High
Atharv,"KK College of Engineering and Management, Dhanbad ",Engineering,4,Copilot,1.4,"MCQ Practice, Projects",2,2,Yes,Other,10,Yes,Jharkhand,Mobile,High
Om,"Amity University, Kolkata ",Hotel-management,1,Copilot,0.6,"Assignments, Coding Help",1,0,No,Other,10,Yes,West bengal,Laptop,Medium
Anaya,"EMEA College of Arts and Science Kondotty, ",Law,3,"ChatGPT, Copilot",4.3,"Exam Prep, Notes",4,-1,No,Copilot,3,Yes,Kerala,Laptop,Poor
Siya,Government Degree College ,Arts,4,"ChatGPT, Gemini, Copilot",4.1,Learning new topics,4,3,Yes,Other,7,Yes,Jammu,Laptop,High
Diya,Vaishali Institute of Business and Rural Management ,Management,3,Copilot,3.2,Learning new topics,4,1,Yes,Other,7,No,Bihar,Laptop,Poor
Myra,"PG Government College for Girls, Chandigarh ",Commerce,3,"Gemini, Midjourney",2.9,"MCQ Practice, Projects",5,-2,No,ChatGPT,9,No,Chandigarh,Tablet,Poor
Aadhya,Goswami Ganesh Dutt Sanatan Dharama College ,Law,4,Copilot,1.8,"Doubt Solving, Resume Writing",5,-2,Yes,ChatGPT,10,No,Chandigarh,Laptop,High
Riya,Institute of Technology and Science ,Management,4,Copilot,1.2,"Exam Prep, Notes",1,-3,No,Other,3,Yes,Uttar pradesh,Mobile,Medium
Pari,People's Institute of Management & Research ,Management,1,"Gemini, Midjourney",1.0,Learning new topics,3,-1,No,ChatGPT,8,No,Madhya pradesh,Tablet,Medium
Anika,"ICFAI University, West Tripura ",Medical,2,"ChatGPT, Copilot",3.5,"Doubt Solving, Resume Writing",2,0,No,Copilot,4,No,Tripura,Laptop,Medium
Ira,"Government Polytechnic College, Sopore ",Engineering,2,"Gemini, Midjourney",3.9,Learning new topics,3,-2,Yes,Copilot,9,Yes,Jammu,Laptop,High
Meera,Cochin University of Science and Technology ,Agriculture,3,Gemini,2.9,Learning new topics,2,0,No,Other,8,No,Kerala,Laptop,Medium
Saanvi,Kalinga Institute of Industrial Technology ,Medical,3,"Gemini, Midjourney",1.5,"MCQ Practice, Projects",3,1,No,Gemini,8,No,Orissa,Mobile,High
Navya,Himgiri Zee University ,Hotel-management,3,"ChatGPT, Gemini, Copilot",0.9,"MCQ Practice, Projects",2,-1,Yes,ChatGPT,10,No,Uttarakhand,Mobile,Poor
Aarohi,LJ Institute of Computer Application ,Science,2,"ChatGPT, Gemini, Copilot",1.7,Learning new topics,2,-2,Yes,Other,10,Yes,Gujarat,Tablet,Medium
Prisha,"Nirmalagiri College, Kannur ",Commerce,1,"ChatGPT, Copilot",3.7,"Doubt Solving, Resume Writing",4,1,No,Gemini,5,Yes,Kerala,Laptop,High
Ishita,Mahatma Jyoti Rao Phoole University ,Science,1,"ChatGPT, Copilot",0.8,"MCQ Practice, Projects",4,-1,No,ChatGPT,2,Yes,Rajasthan,Mobile,High
Rakhi,Institute of Pharmacy ,Pharmacy,4,Copilot,3.1,"Exam Prep, Notes",5,2,Yes,ChatGPT,1,Yes,West bengal,Laptop,Medium
Ramya,LM College of Pharmacy ,Science,4,"Gemini, Midjourney",4.4,"Assignments, Coding Help",1,-1,Yes,ChatGPT,6,Yes,Gujarat,Tablet,Poor
Sneha,Central University of Jharkhand ,Management,2,"Gemini, Midjourney",1.2,Content Writing,4,-2,No,Gemini,3,No,Jharkhand,Laptop,High
Divya,Acharya Narendra Dev College ,Commerce,4,ChatGPT,3.3,"MCQ Practice, Projects",4,2,Yes,Copilot,8,No,Delhi ncr,Mobile,Medium
Neha,"Arya Post Graduate College, Panipat ",Law,4,"ChatGPT, Copilot",2.6,Content Writing,2,-3,No,Gemini,8,Yes,Haryana,Laptop,Medium
Pooja,Amar Shaheed Baba Ajit Singh Jujhar Singh ,Pharmacy,4,"Gemini, Midjourney",2.2,Learning new topics,2,3,Yes,Other,1,Yes,Punjab,Laptop,Poor
Kavya,"Umiya Arts and Commerce College for Girls, ",Arts,1,ChatGPT,0.8,"Exam Prep, Notes",1,0,No,Gemini,7,Yes,Gujarat,Mobile,Poor
Aishwarya,"Holy Cross College, Agartala ",Science,2,"ChatGPT, Copilot",0.6,"Assignments, Coding Help",2,3,No,Gemini,1,Yes,Tripura,Laptop,Medium
Shreya,Oriental University ,Agriculture,1,ChatGPT,3.3,Learning new topics,4,-3,Yes,ChatGPT,9,No,Madhya pradesh,Mobile,High
Nandini,Nehru Academy of Law ,Law,1,Gemini,3.4,Learning new topics,2,0,No,Other,4,No,Kerala,Laptop,High
Aarav,GRD Institute of Management and Technology ,Hotel-management,4,ChatGPT,4.3,Learning new topics,5,-3,Yes,Gemini,7,Yes,Uttarakhand,Tablet,High
Vivaan,"Government Medical College / Rajindra Hospital-[GMCP], Patiala ",Medical,4,"ChatGPT, Copilot",0.8,Learning new topics,3,2,Yes,ChatGPT,5,No,Punjab,Laptop,Medium
Aditya,JP Institute of Hotel Management & Catering ,Hotel-management,4,Gemini,3.9,"Exam Prep, Notes",4,3,Yes,Gemini,2,Yes,Uttar pradesh,Mobile,Medium
Vihaan,"Dhanamanjuri University, Imphal ",Science,3,Gemini,2.8,Learning new topics,4,2,Yes,Gemini,4,Yes,Manipur,Mobile,Medium
Arjun,"Durgapur Institute of Legal Studies, Bardhaman ",Law,3,Copilot,1.4,Content Writing,1,2,Yes,ChatGPT,9,No,West bengal,Laptop,Medium
Sai,SRM Institute of Technology ,Law,3,"Gemini, Midjourney",1.5,Learning new topics,5,-1,No,Gemini,9,No,Tamil nadu,Mobile,Poor
Reyansh,Madhav University ,Engineering,2,Gemini,2.6,"Assignments, Coding Help",4,2,Yes,Other,2,Yes,Rajasthan,Tablet,Poor
Ayaan,ITM Institute of Hotel Management ,Hotel-management,3,Gemini,2.0,Content Writing,3,1,Yes,Gemini,4,Yes,Maharashtra,Laptop,Medium
Krishna,"IPS Group of Colleges, Gwalior ",Pharmacy,3,"ChatGPT, Copilot",0.5,"Exam Prep, Notes",1,-1,No,Gemini,4,Yes,Madhya pradesh,Tablet,Poor
Ishaan,"Rayat Bahra Hoshiarpur Campus, Hoshiarpur ",Pharmacy,2,Gemini,3.2,"MCQ Practice, Projects",4,-1,Yes,Copilot,7,Yes,Punjab,Mobile,Poor
Rudra,"St Francis Sales College, West Siang ",Arts,2,ChatGPT,2.6,"Assignments, Coding Help",5,2,No,ChatGPT,6,No,Arunachal pradesh,Tablet,Poor
Dhruv,"PCTE Group of Institutes, Ludhiana ",Management,4,"ChatGPT, Gemini, Copilot",1.1,"Doubt Solving, Resume Writing",4,2,No,ChatGPT,6,Yes,Punjab,Mobile,High
Kabir,Sister Nivedita University ,Hotel-management,4,ChatGPT,4.2,"MCQ Practice, Projects",4,-1,Yes,Copilot,4,Yes,West bengal,Tablet,Poor
Atharv,"Government Degree College, Baramulla ",Science,4,Gemini,2.4,"Doubt Solving, Resume Writing",5,1,Yes,Gemini,7,No,Jammu,Mobile,Poor
Om,Lady Hardinge Medical College ,Medical,4,Gemini,1.5,"Assignments, Coding Help",5,2,No,Copilot,3,No,Delhi ncr,Laptop,Medium
Anaya,"University Institute of Technology, University Of Burdwan ",Engineering,4,Gemini,3.3,"MCQ Practice, Projects",2,3,No,ChatGPT,9,No,West bengal,Tablet,Medium
Siya,Dharmsinh Desai University ,Pharmacy,3,ChatGPT,2.3,"Exam Prep, Notes",2,1,Yes,Copilot,9,Yes,Gujarat,Laptop,Medium
Diya,"St. Edmund's College, Shillong ",Arts,3,Copilot,1.1,"Exam Prep, Notes",5,2,No,Copilot,6,No,Meghalaya,Tablet,Medium
Myra,"Government College of Arts Science and Commerce Sanquelim, North Goa ",Arts,3,Copilot,1.6,Content Writing,2,-3,No,Gemini,9,No,Goa,Tablet,High
Aadhya,Government Polytechnic ,Engineering,4,Copilot,1.6,"Assignments, Coding Help",3,-3,No,Gemini,1,Yes,Goa,Laptop,Medium
Riya,Goswami Ganesh Dutt Sanatan Dharama College ,Science,2,Copilot,3.1,Content Writing,5,0,No,ChatGPT,9,No,Punjab,Laptop,Medium
Pari,ICFAI Business School ,Science,4,Copilot,2.7,"MCQ Practice, Projects",3,0,No,Other,5,No,Telangana,Tablet,Poor
Anika,Pandit Deendayal Petroleum University [PDPU] / (Energy ,Arts,3,"Gemini, Midjourney",1.9,"MCQ Practice, Projects",5,-1,Yes,Gemini,3,Yes,Gujarat,Mobile,Poor
Ira,Eastern Institute for Integrated Learning In Management ,Management,2,"ChatGPT, Copilot",2.3,"Exam Prep, Notes",4,-3,No,Copilot,5,No,West bengal,Mobile,Poor
Meera,Patna University ,Science,1,"ChatGPT, Gemini, Copilot",2.8,"Doubt Solving, Resume Writing",2,0,Yes,Other,7,Yes,Bihar,Tablet,High
Saanvi,"Alagappa University, Karaikudi ",Agriculture,4,"Gemini, Midjourney",2.5,Content Writing,4,-2,No,Copilot,9,Yes,Tamil nadu,Mobile,Poor
Navya,"Narayana Medical College and Hospital, Nellore ",Medical,3,Copilot,0.6,"MCQ Practice, Projects",3,0,No,Other,5,No,Andhra pradesh,Mobile,Poor
Aarohi,"Ramakrishna Mission Vidyamandira, Howrah ",Science,4,Copilot,2.4,"Exam Prep, Notes",4,3,Yes,Gemini,10,Yes,West bengal,Laptop,High
Prisha,Kasturba Medical College ,Medical,1,"ChatGPT, Copilot",2.7,"Doubt Solving, Resume Writing",3,3,No,Other,3,Yes,Karnataka,Tablet,Medium
Ishita,"SR University, Warangal ",Commerce,3,Gemini,0.7,"MCQ Practice, Projects",3,-3,Yes,Other,5,No,Telangana,Mobile,High
Rakhi,Vinayaka Missions Sikkim University ,Science,1,Copilot,4.2,"MCQ Practice, Projects",2,0,Yes,Gemini,6,No,Sikkim,Tablet,Poor
Ramya,"Vignan Institute of Technology And Management, Berhampur ",Engineering,1,Gemini,3.6,"Assignments, Coding Help",5,1,Yes,ChatGPT,10,Yes,Orissa,Laptop,High
Sneha,Acharya Nagarjuna University ,Agriculture,3,"Gemini, Midjourney",3.2,"Assignments, Coding Help",3,1,Yes,Other,1,Yes,Andhra pradesh,Tablet,High
Divya,Indian Institute of Information Technology ,Science,3,Copilot,0.7,Learning new topics,3,-1,No,Gemini,3,No,Manipur,Tablet,High
Neha,Vellore Institute of Technology ,Commerce,2,Copilot,4.5,"Doubt Solving, Resume Writing",3,-1,Yes,Other,6,Yes,Tamil nadu,Mobile,Medium
Pooja,"Maris Stella College, Vijayawada ",Agriculture,2,"Gemini, Midjourney",3.5,"MCQ Practice, Projects",4,2,No,Other,10,No,Andhra pradesh,Mobile,High
Kavya,Punjab College of Technical Education ,Hotel-management,3,"Gemini, Midjourney",3.3,Content Writing,1,1,Yes,Copilot,10,Yes,Punjab,Mobile,Medium
Aishwarya,Dr DY Patil College of Agriculture Business ,Agriculture,1,"ChatGPT, Gemini, Copilot",3.1,"MCQ Practice, Projects",5,-2,No,Copilot,7,Yes,Maharashtra,Laptop,Poor
Shreya,"Ramthakur College, West Tripura ",Commerce,3,"Gemini, Midjourney",2.9,"Exam Prep, Notes",5,3,Yes,Gemini,2,No,Tripura,Mobile,Poor
Nandini,The Neotia University ,Agriculture,1,Gemini,1.8,"Assignments, Coding Help",4,3,No,ChatGPT,2,Yes,West bengal,Tablet,High
Aarav,"Little Flower College Guruvayoor, Thrissur ",Law,1,"ChatGPT, Copilot",0.8,"Doubt Solving, Resume Writing",2,-2,Yes,Other,7,No,Kerala,Tablet,High
